id,lvl1,lvl2
0,Empresa inmobiliaria,
1,Empresa inmobiliaria,Alquiler de inmuebles
2,Empresa inmobiliaria,Mudanzas
3,Empresa inmobiliaria,Venta de inmuebles
4,Empresas de Abogacia,
5,Empresas de Abogacia,Empresas de Abogacia
6,Empresas de comercializacion,
7,Empresas de comercializacion,Tiendas de ropa
8,Empresas de comercializacion,zapateria
9,Empresas de construccion,
10,Empresas de construccion,Ascensores
11,Empresas de construccion,Cerrajería
12,Empresas de construccion,Obra menor
13,Empresas de construccion,Puertas automaticas
14,Empresas de construccion,Reformas
15,Empresas de construccion,Tecnicos
16,Empresas de educacion,
17,Empresas de educacion,Academias
18,Empresas de educacion,Guarderia infantil
19,Empresas de estetica,
20,Empresas de estetica,Manicura
21,Empresas de estetica,Maquillaje y cosmetica
22,Empresas de estetica,Peluquerias
23,Empresas de estetica,Perfumes y fragancias
24,Empresas de finanzas,
25,Empresas de finanzas,Asesoramiento a empresas
26,Empresas de finanzas,Banca
27,Empresas de finanzas,Seguros
28,Empresas de limpieza,
29,Empresas de limpieza,Desifeccion y plagas
30,Empresas de limpieza,Industrial
31,Empresas de ocasion extraordinaria,
32,Empresas de ocasion extraordinaria,Funeraria
33,Empresas de packaging,
34,Empresas de packaging,Empresas de packaging
35,Empresas de regalos,
36,Empresas de regalos,Floristeria
37,Empresas de restauracion,
38,Empresas de restauracion,Bar
39,Empresas de restauracion,Bodegas y vino
40,Empresas de restauracion,Cervecería
41,Empresas de restauracion,Restaurante
42,Empresas de salud,
43,Empresas de salud,Cirugia estetica
44,Empresas de salud,Dietetica y nutricion
45,Empresas de salud,Fisioterapia
46,Empresas de salud,Odontologia
47,Empresas de salud,Psicologia
48,Empresas de seguridad ,
49,Empresas de seguridad ,Alarmas
50,Empresas de vehiculos,
51,Empresas de vehiculos,Alquiler de autocares
52,Empresas de vehiculos,Alquiler de coches
53,Empresas de vehiculos,Autocaravanas
54,Empresas de vehiculos,Bicicletas
55,Empresas de vehiculos,Desguaces de vehiculos
56,Empresas de vehiculos,Taller de vehiculos
57,Empresas de vehiculos,Venta de coches
58,Empresas de viajes,
59,Empresas de viajes,Alojamiento
60,Empresas mascotas,
61,Empresas mascotas,Veterinario
62,empresas de energía,
63,empresas de energía,empresas de energía
