id                           ,lvl1                            ,lvl2
10021                        ,Apparel                         ,
10178                        ,Apparel                         ,Apparel Accessories
10937                        ,Apparel                         ,Apparel Accessories
12262                        ,Apparel                         ,Apparel Accessories
12264                        ,Apparel                         ,Apparel Accessories
12263                        ,Apparel                         ,Apparel Accessories
12265                        ,Apparel                         ,Apparel Accessories
10935                        ,Apparel                         ,Apparel Accessories
10938                        ,Apparel                         ,Apparel Accessories
10936                        ,Apparel                         ,Apparel Accessories
12260                        ,Apparel                         ,Apparel Accessories
12261                        ,Apparel                         ,Apparel Accessories
10939                        ,Apparel                         ,Apparel Accessories
10942                        ,Apparel                         ,Apparel Accessories
10941                        ,Apparel                         ,Apparel Accessories
12266                        ,Apparel                         ,Apparel Accessories
12267                        ,Apparel                         ,Apparel Accessories
13701                        ,Apparel                         ,Apparel Accessories
13409                        ,Apparel                         ,Apparel Accessories
10943                        ,Apparel                         ,Apparel Accessories
10940                        ,Apparel                         ,Apparel Accessories
10176                        ,Apparel                         ,Clothing
13780                        ,Apparel                         ,Clothing
11019                        ,Apparel                         ,Clothing
12292                        ,Apparel                         ,Clothing
12293                        ,Apparel                         ,Clothing
12288                        ,Apparel                         ,Clothing
10924                        ,Apparel                         ,Clothing
10919                        ,Apparel                         ,Clothing
10906                        ,Apparel                         ,Clothing
10916                        ,Apparel                         ,Clothing
10920                        ,Apparel                         ,Clothing
12250                        ,Apparel                         ,Clothing
10905                        ,Apparel                         ,Clothing
12252                        ,Apparel                         ,Clothing
12251                        ,Apparel                         ,Clothing
13778                        ,Apparel                         ,Clothing
10917                        ,Apparel                         ,Clothing
13356                        ,Apparel                         ,Clothing
13357                        ,Apparel                         ,Clothing
12241                        ,Apparel                         ,Clothing
10912                        ,Apparel                         ,Clothing
10923                        ,Apparel                         ,Clothing
12237                        ,Apparel                         ,Clothing
12240                        ,Apparel                         ,Clothing
13117                        ,Apparel                         ,Clothing
13116                        ,Apparel                         ,Clothing
13315                        ,Apparel                         ,Clothing
13118                        ,Apparel                         ,Clothing
12242                        ,Apparel                         ,Clothing
10925                        ,Apparel                         ,Clothing
10921                        ,Apparel                         ,Clothing
12243                        ,Apparel                         ,Clothing
10914                        ,Apparel                         ,Clothing
12238                        ,Apparel                         ,Clothing
11917                        ,Apparel                         ,Clothing
10913                        ,Apparel                         ,Clothing
12246                        ,Apparel                         ,Clothing
12245                        ,Apparel                         ,Clothing
13120                        ,Apparel                         ,Clothing
13123                        ,Apparel                         ,Clothing
13121                        ,Apparel                         ,Clothing
10926                        ,Apparel                         ,Clothing
12254                        ,Apparel                         ,Clothing
12253                        ,Apparel                         ,Clothing
13124                        ,Apparel                         ,Clothing
13125                        ,Apparel                         ,Clothing
10918                        ,Apparel                         ,Clothing
12239                        ,Apparel                         ,Clothing
13779                        ,Apparel                         ,Clothing
