id,lvl1,lvl2
1,Vestir,
2,Vestir,Joyería
3,Vestir,Calzado
4,Vestir,Ropa
5,Vestir,Ropa y accesorios
6,Vestir,Alteraciones en la limpieza en seco
7,Vestir,Ropa de lluvia
8,Arte y entretenimiento,
9,Arte y entretenimiento,Video de TV
10,Arte y entretenimiento,Entretenimiento
11,Arte y entretenimiento,Industria del entretenimiento
12,Arte y entretenimiento,Bromas del humor
13,Arte y entretenimiento,Música Audio
14,Arte y entretenimiento,Entretenimiento Deportivo
15,Arte y entretenimiento,Eventos culturales
16,Arte y entretenimiento,Películas
17,Arte y entretenimiento,Comics Novelas gráficas
18,Arte y entretenimiento,Diseño Visual
19,Arte y entretenimiento,Diversión divertida
20,Arte y entretenimiento,Premios Arts Entertainment
21,Arte y entretenimiento,Excéntrico
22,Arte y entretenimiento,Entretenimiento Media Tiendas
23,Arte y entretenimiento,Dibujos animados
24,Belleza Cuidado Personal,
25,Belleza Cuidado Personal,Protección de la piel
26,Belleza Cuidado Personal,Cuidado solar bronceado
27,Belleza Cuidado Personal,Balneario Spa Médico
28,Belleza Cuidado Personal,Anti-Envejecimiento
29,Belleza Cuidado Personal,Cuidado de uñas
30,Belleza Cuidado Personal,Cuidado de los labios
31,Belleza Cuidado Personal,Maquillaje Cosmética
32,Belleza Cuidado Personal,Cuidado del cabello
33,Belleza Cuidado Personal,Perfumes Fragancias
34,Belleza Cuidado Personal,Afeitado
35,Belleza Cuidado Personal,Cuidado bucal
36,Belleza Cuidado Personal,Artículos de higiene
37,Belleza Cuidado Personal,Arte Corporal
38,Belleza Cuidado Personal,Estilo de moda
39,Belleza Cuidado Personal,Repelente de insectos
40,Negocio e industria,
41,Negocio e industria,Fabricación
42,Negocio e industria,Ingeniería de diseño
43,Negocio e industria,Administración de Empresas
44,Negocio e industria,Fabricación de Bienes Industriales
45,Negocio e industria,Mantenimiento de la Construcción
46,Negocio e industria,Comercio al por menor
47,Negocio e industria,Servicios de Equipo Científico
48,Negocio e industria,Industria energética
49,Negocio e industria,Servicios de equipos de seguridad
50,Negocio e industria,Oficina
51,Negocio e industria,Industria de Servicios Alimentarios
52,Negocio e industria,Embalaje de envío
53,Negocio e industria,Impresión industrial comercial
54,Negocio e industria,Productos de limpieza Servicios
55,Negocio e industria,Agricultura
56,Negocio e industria,Industria química
57,Negocio e industria,Suministros para equipos veterinarios
58,Negocio e industria,Industria pesquera
59,Negocio e industria,Importación y exportación
60,Negocio e industria,La producción de alimentos
61,Negocio e industria,Aeroespacial
62,Electrónica,
63,Electrónica,Ordenadores
64,Electrónica,Electrónica de consumo
65,Vida nocturna,
66,Vida nocturna,Restaurantes y Bares
67,Vida nocturna,Restaurantes Vida nocturna
68,Vida nocturna,Discotecas Bares Music Clubs
69,Comunidad Familiar,
70,Comunidad Familiar,Organizaciones sociales de servicios comunitarios
71,Comunidad Familiar,Recursos personales domésticos
72,Comunidad Familiar,Familia de crianza de bebés
73,Comunidad Familiar,Relaciones románticas
74,Comunidad Familiar,Fe creencia
75,Financiar,
